name,family,dominant_interaction,base_name,base_value,theta_rad,theta_deg,x,y,z_log10_N,N,compton_frequency_hz,lifetime_s
tau,lepton,weak,phi,1.618033988749895,0.5900766981492401,33.8089043929665,0.8308980047953902,0.5564247528885102,11.09597171977255,124730229022.9188,4.2965976239379536e+23,2.903e-13
neutron,baryon,weak,phi,1.618033988749895,5.310017036661431,304.24156534326414,0.5626832372277573,-0.8266725921082007,26.300073716822478,1.9956010180556114e+26,2.2718590824858967e+23,878.4
Lambda,baryon,weak,phi,1.618033988749895,1.6720468578775334,95.80122810449325,-0.1010776218974184,0.9948785425123825,13.84879890259473,70599057394570.8,2.6977094915770273e+23,2.617e-10
Sigma_plus,baryon,weak,phi,1.618033988749895,5.911235421358602,338.68884135208475,0.9316204648701785,-0.36343267524408507,13.362837396118582,23058836828435.76,2.8758838648585384e+23,8.018e-11
Xi_minus,baryon,weak,phi,1.618033988749895,4.0579414155172575,232.50291662048195,-0.6087210428614052,-0.7933843280388915,13.719169493736818,52380482397347.77,3.195880561156057e+23,1.639e-10
Omega_minus,baryon,weak,phi,1.618033988749895,4.387717237185437,251.39767938752752,-0.31899769586374466,-0.9477554906375494,13.521150664275083,33200961746063.605,4.043966107924921e+23,8.21e-11
Delta_1232,baryon,strong,phi,1.618033988749895,0.39882423799097605,22.850945604404036,0.9215182205451026,0.38833512486432104,0.22225309913704822,1.6682191378992266,2.978962746248619e+23,5.5999999999999996e-24
pi0,meson,electromagnetic,phi,1.618033988749895,5.108377203322273,292.688453911209,0.3857201271371421,-0.9226158374541957,6.439541066697468,2751319.756290731,3.2637245033104756e+22,8.43e-17
pi_plus,meson,weak,phi,1.618033988749895,3.1763355173991683,181.990619464475,-0.9993965274134583,-0.0347358747395362,14.943771874719356,878560907002411.5,3.374797015335964e+22,2.6033e-08
K_plus,meson,weak,phi,1.618033988749895,3.683180694847202,211.03070899880663,-0.8568911310235041,-0.515497419560234,15.169617903259415,1477807625730168.0,1.193705675064756e+23,1.238e-08
K_short,meson,weak,phi,1.618033988749895,2.2587051317867988,129.41427121592397,-0.6349229657621233,0.7725754510388159,13.032361426487812,10773614372629.879,1.2032180447431181e+23,8.954e-11
K_long,meson,weak,phi,1.618033988749895,3.463528237346665,198.44555022434918,-0.9486247703901185,-0.31640329486636987,15.789274872247002,6155663516905793.0,1.2032180447431181e+23,5.116e-08
eta,meson,electromagnetic,phi,1.618033988749895,0.48445124179949917,27.757011534983036,0.8849306515525367,0.46572281664398074,4.82282926003031,66501.16599178579,1.3247244221471272e+23,5.02e-19
rho_770,meson,strong,phi,1.618033988749895,3.798033460774675,217.61128775185477,-0.7921694242367958,-0.6103012398023974,-0.08265966936381419,0.8266855198600702,1.8745703398187536e+23,4.41e-24
omega_782,meson,strong,phi,1.618033988749895,3.6496042189148126,209.10691863695814,-0.8737134902116469,-0.486440887490127,1.1663292053773442,14.666591816628907,1.892463460210182e+23,7.749999999999999e-23
phi_1020,meson,strong,phi,1.618033988749895,3.5850306863296177,205.40712775157598,-0.9032819251704232,-0.4290475074632341,1.582156678747984,38.208208826239556,2.4650457307251326e+23,1.55e-22
D0,meson,weak,phi,1.618033988749895,5.737955477039463,328.7606318683362,0.8550081200944756,-0.5186146108359374,11.267197457307917,185010960278.34146,4.509163058209639e+23,4.103e-13
D_plus,meson,weak,phi,1.618033988749895,5.261264548847483,301.44825355076193,0.5217282932450221,-0.8531117089969146,11.669317322546195,467000475264.6251,4.5208177663564874e+23,1.033e-12
Ds_plus,meson,weak,phi,1.618033988749895,2.773038216730432,158.88338624713782,-0.9328491092434609,0.3602673165632454,11.377567751184174,238543590127.85135,4.759449124657848e+23,5.012e-13
J_psi,meson,mixed,phi,1.618033988749895,5.159880140094085,295.639354820763,0.4327050896145399,-0.9015355264334695,3.7244148040524654,5301.695785739452,7.488270883812783e+23,7.080000000000001e-21
B_plus,meson,weak,phi,1.618033988749895,5.9850283579795835,342.91686517834336,0.9558795250102058,-0.2937589720608773,12.320353652430827,2090998168550.197,1.2765556584555537e+24,1.638e-12
B0,meson,weak,phi,1.618033988749895,4.983783666664378,285.54977010610315,0.2680753348827296,-0.9633979524721403,12.287050836244319,1936648644657.1626,1.2766306161220584e+24,1.517e-12
Bs0,meson,weak,phi,1.618033988749895,5.189086418877716,297.31275133034757,0.4588473072874212,-0.888515136953267,12.293879496489762,1967340336858.258,1.297717900302281e+24,1.516e-12
Upsilon_1S,meson,mixed,phi,1.618033988749895,1.7024868725787845,97.54531247519111,-0.13131023735654151,0.9913413244515578,4.445367569337434,27884.802274074773,2.2875145425820157e+24,1.2190000000000001e-20
W,boson,weak,phi,1.618033988749895,4.84850589554699,277.79892475914005,0.13569697954773882,-0.9907503872023571,0.7882310922760309,6.140886807441088,1.9433186099497117e+25,3.16e-25
Z,boson,weak,phi,1.618033988749895,4.149945420782957,237.77435782050594,-0.5332549283709824,-0.8459545976989891,0.7649959817301074,5.820978319391123,2.204916030072395e+25,2.64e-25
Higgs,boson,mixed,phi,1.618033988749895,3.98025122019396,228.05159631891001,-0.6684611141600902,-0.7437470933427913,3.685178675832777,4843.716049744508,3.027322531090317e+25,1.6000000000000002e-22
top,quark,weak,phi,1.618033988749895,2.825202482379202,161.8721785102116,-0.9503647623709308,0.31113794118307764,1.1389084362748172,13.769191379267722,4.172482236141734e+25,3.3e-25
muon,lepton,weak,10,10.0,4.707265760571775,269.7064611272022,-0.005123197401093733,-0.9999868763380795,16.74918461424223,5.612865226160765e+16,2.5548081529516867e+22,2.1969811e-06
tau,lepton,weak,10,10.0,0.603008099579629,34.54981911811721,0.8236333825952055,0.567122606739301,11.09597171977255,124730229022.9188,4.2965976239379536e+23,2.903e-13
neutron,baryon,weak,10,10.0,1.8854187686097397,108.02653805609083,-0.30945746819865794,0.9509132848877844,26.300073716822478,1.9956010180556114e+26,2.2718590824858967e+23,878.4
Lambda,baryon,weak,10,10.0,5.333160793533365,305.5676049341028,0.5816631495091976,-0.8134297637184423,13.84879890259473,70599057394570.8,2.6977094915770273e+23,2.617e-10
Sigma_plus,baryon,weak,10,10.0,2.279774596187564,130.62146260268895,-0.6510585893807129,0.7590274785497533,13.362837396118582,23058836828435.76,2.8758838648585384e+23,8.018e-11
Xi_minus,baryon,weak,10,10.0,4.518675196418942,258.9010177452537,-0.1925045357884272,-0.9812960836062081,13.719169493736818,52380482397347.77,3.195880561156057e+23,1.639e-10
Omega_minus,baryon,weak,10,10.0,3.274486196600085,187.61423913903002,-0.9911826413026716,-0.1325027229163964,13.521150664275083,33200961746063.605,4.043966107924921e+23,8.21e-11
Delta_1232,baryon,strong,10,10.0,1.3964574069730293,80.01111568933736,0.17345711640028355,0.9848414231591289,0.22225309913704822,1.6682191378992266,2.978962746248619e+23,5.5999999999999996e-24
pi0,meson,electromagnetic,10,10.0,2.7617179721755747,158.23478401108855,-0.9287111115128308,0.3708040875618854,6.439541066697468,2751319.756290731,3.2637245033104756e+22,8.43e-17
pi_plus,meson,weak,10,10.0,5.929893576565993,339.7578748989683,0.9382388983982022,-0.3459881060564481,14.943771874719356,878560907002411.5,3.374797015335964e+22,2.6033e-08
K_plus,meson,weak,10,10.0,1.0657407175941505,61.06244517338858,0.4838561073289124,0.8751475689279563,15.169617903259415,1477807625730168.0,1.193705675064756e+23,1.238e-08
K_short,meson,weak,10,10.0,0.20333283942758174,11.650113535611695,0.9793990028924574,0.20193462588981656,13.032361426487812,10773614372629.879,1.2032180447431181e+23,8.954e-11
K_long,meson,weak,10,10.0,4.959160280628399,284.1389540089202,0.24427434785945706,-0.969706163215351,15.789274872247002,6155663516905793.0,1.2032180447431181e+23,5.116e-08
eta,meson,electromagnetic,10,10.0,5.169988716939893,296.2185336109115,0.4417960681256314,-0.8971155077183386,4.82282926003031,66501.16599178579,1.3247244221471272e+23,5.02e-19
rho_770,meson,strong,10,10.0,5.763819287136546,330.2425190290269,0.8681340173034223,-0.4963298580587523,-0.08265966936381419,0.8266855198600702,1.8745703398187536e+23,4.41e-24
omega_782,meson,strong,10,10.0,1.0450772193817848,59.878513935843905,0.5018351358888379,0.8649632919306065,1.1663292053773442,14.666591816628907,1.892463460210182e+23,7.749999999999999e-23
phi_1020,meson,strong,10,10.0,3.657798290385799,209.5764043492742,-0.8696982717933062,-0.4935837477467594,1.582156678747984,38.208208826239556,2.4650457307251326e+23,1.55e-22
D0,meson,weak,10,10.0,1.678851137872839,96.19108463084956,-0.10784466197838848,0.9941677569116628,11.267197457307917,185010960278.34146,4.509163058209639e+23,4.103e-13
D_plus,meson,weak,10,10.0,4.205444766863025,240.95423611662974,-0.4855080509114021,-0.8742321959869765,11.669317322546195,467000475264.6251,4.5208177663564874e+23,1.033e-12
Ds_plus,meson,weak,10,10.0,2.3723281467052257,135.92439042630184,-0.7184224780632787,0.6956070320327546,11.377567751184174,238543590127.85135,4.759449124657848e+23,5.012e-13
J_psi,meson,mixed,10,10.0,4.551632453125826,260.7893294588874,-0.16006502530200015,-0.9871064723093806,3.7244148040524654,5301.695785739452,7.488270883812783e+23,7.080000000000001e-21
B_plus,meson,weak,10,10.0,2.0128413620546857,115.32731487509757,-0.42778882215381325,0.9038787106909052,12.320353652430827,2090998168550.197,1.2765556584555537e+24,1.638e-12
B0,meson,weak,10,10.0,1.803593596703907,103.33830104795418,-0.23070023576200008,0.973024871840056,12.287050836244319,1936648644657.1626,1.2766306161220584e+24,1.517e-12
Bs0,meson,weak,10,10.0,1.8464993344258058,105.79661873631423,-0.2722234620565699,0.9622340602503817,12.293879496489762,1967340336858.258,1.297717900302281e+24,1.516e-12
Upsilon_1S,meson,mixed,10,10.0,2.798326967955252,160.3323249614763,-0.9416605763633646,0.33656404876786217,4.445367569337434,27884.802274074773,2.2875145425820157e+24,1.2190000000000001e-20
W,boson,weak,10,10.0,4.952602017650873,283.7631932193711,0.23790955221821986,-0.9712873132926869,0.7882310922760309,6.140886807441088,1.9433186099497117e+25,3.16e-25
Z,boson,weak,10,10.0,4.8066115124580335,275.39855342283863,0.0940831778036239,-0.9955643402886484,0.7649959817301074,5.820978319391123,2.204916030072395e+25,2.64e-25
Higgs,boson,mixed,10,10.0,4.305104588785266,246.66432329979955,-0.396117320257614,-0.9181999066608136,3.685178675832777,4843.716049744508,3.027322531090317e+25,1.6000000000000002e-22
top,quark,weak,10,10.0,0.8727874458452233,50.00703705893419,0.642693519376532,0.766123384417554,1.1389084362748172,13.769191379267722,4.172482236141734e+25,3.3e-25
muon,lepton,weak,2pi,6.283185307179586,6.1840575589983064,354.32039839657705,0.9950908666351028,-0.09896548458629367,16.74918461424223,5.612865226160765e+16,2.5548081529516867e+22,2.1969811e-06
tau,lepton,weak,2pi,6.283185307179586,5.664876276886037,324.5735021293531,0.8148598054561333,-0.5796580866786838,11.09597171977255,124730229022.9188,4.2965976239379536e+23,2.903e-13
neutron,baryon,weak,2pi,6.283185307179586,5.969396449128996,342.0212227754715,0.9511709132024442,-0.3086646948998677,26.300073716822478,1.9956010180556114e+26,2.2718590824858967e+23,878.4
Lambda,baryon,weak,2pi,6.283185307179586,2.2020919012420332,126.17057204110779,-0.590191122998219,0.8072635494893233,13.84879890259473,70599057394570.8,2.6977094915770273e+23,2.617e-10
