record_type,members,member_count,persistence_neighbor_score
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""eta"", ""muon"", ""phi_1020"", ""proton""]",11,0.0078
cluster,"[""Omega_minus"", ""Upsilon_1S"", ""rho_770""]",3,0.0078
cluster,"[""K_plus"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""omega_782"", ""top""]",7,0.0078
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Upsilon_1S"", ""Xi_minus"", ""pi_plus"", ""tau""]",7,0.0076
cluster,"[""D_plus"", ""K_long"", ""K_short"", ""eta""]",4,0.0076
cluster,"[""D0"", ""Ds_plus"", ""rho_770""]",3,0.0076
cluster,"[""D_plus"", ""Upsilon_1S"", ""neutron"", ""phi_1020""]",4,0.0076
cluster,"[""Delta_1232"", ""K_long"", ""electron"", ""eta"", ""pi0"", ""tau""]",6,0.0076
cluster,"[""K_plus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""rho_770""]",5,0.0074
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S""]",5,0.0074
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""electron"", ""eta"", ""neutron"", ""omega_782"", ""pi0"", ""tau"", ""top""]",11,0.0074
cluster,"[""Omega_minus"", ""omega_782"", ""pi_plus"", ""top""]",4,0.0072
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Upsilon_1S"", ""pi_plus""]",5,0.0072
cluster,"[""D_plus"", ""K_long"", ""K_short"", ""electron""]",4,0.0072
cluster,"[""Lambda"", ""muon"", ""omega_782"", ""proton"", ""tau"", ""top""]",6,0.0072
cluster,"[""Delta_1232"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""phi_1020"", ""pi_plus""]",6,0.0072
cluster,"[""D_plus"", ""K_short"", ""electron"", ""omega_782"", ""proton"", ""top""]",6,0.0072
cluster,"[""Sigma_plus"", ""omega_782"", ""pi_plus"", ""proton"", ""top""]",5,0.0072
cluster,"[""K_plus"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""muon"", ""proton""]",7,0.0072
cluster,"[""D0"", ""electron"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770""]",6,0.0072
cluster,"[""Omega_minus"", ""omega_782"", ""top""]",3,0.007
cluster,"[""Lambda"", ""muon"", ""omega_782"", ""tau"", ""top""]",5,0.007
cluster,"[""K_long"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Z""]",5,0.007
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""eta"", ""neutron"", ""pi_plus"", ""tau""]",11,0.007
cluster,"[""D0"", ""Ds_plus"", ""K_long"", ""electron"", ""omega_782"", ""proton"", ""top""]",7,0.007
cluster,"[""W"", ""Z"", ""pi0""]",3,0.0068
cluster,"[""Delta_1232"", ""Higgs"", ""J_psi"", ""K_short"", ""eta""]",5,0.0068
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Higgs"", ""J_psi"", ""Omega_minus"", ""Xi_minus"", ""eta"", ""omega_782"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",14,0.0068
