base_index,base,category_type,category,particle_count,angular_centroid_deg,angular_variance,overlap_score
1162,12.543388677735546,family,meson,17,89.26739989123273,0.7991727769909629,0.8235294117647058
1162,12.543388677735546,family,baryon,7,115.41345510430614,0.6087697575666491,1.0
1162,12.543388677735546,family,boson,3,224.69794138546052,0.46299860229679435,0.3333333333333333
1162,12.543388677735546,family,quark,1,13.271561222980619,0.0,1.0
1163,12.553150630126025,family,lepton,3,82.61506880837183,0.1855951996439319,1.0
1163,12.553150630126025,family,meson,17,88.4511046098013,0.7979335448051562,0.8235294117647058
1163,12.553150630126025,family,baryon,7,113.01340528240041,0.6035709569407155,1.0
1163,12.553150630126025,family,boson,3,224.6421110479368,0.4646902267845666,0.3333333333333333
1163,12.553150630126025,family,quark,1,13.156782309931334,1.1102230246251565e-16,1.0
1164,12.562912582516502,family,lepton,3,79.82414546719916,0.16874097583422076,1.0
1164,12.562912582516502,family,meson,17,87.63654435201468,0.7967021442859471,0.8235294117647058
1164,12.562912582516502,family,baryon,7,110.59526951547865,0.5993561794386257,1.0
1164,12.562912582516502,family,boson,3,224.58742768484998,0.46637831847703204,0.3333333333333333
1164,12.562912582516502,family,quark,1,13.042163103776074,0.0,1.0
1165,12.57267453490698,family,lepton,3,77.01544657157143,0.15290572523031654,1.0
1165,12.57267453490698,family,meson,17,86.82369133742479,0.7954788150632669,0.8235294117647058
1165,12.57267453490698,family,baryon,7,108.16567181123068,0.5961445872353333,1.0
1165,12.57267453490698,family,boson,3,224.53389604261113,0.4680628322880558,0.3333333333333333
1165,12.57267453490698,family,quark,1,12.927703236856704,0.0,1.0
1166,12.582436487297459,family,lepton,3,74.19190502678778,0.13811511106593777,1.0
1166,12.582436487297459,family,meson,17,86.01251841426081,0.7942637949294492,0.8235294117647058
1166,12.582436487297459,family,baryon,7,105.73084699373716,0.5939510057343528,1.0
1166,12.582436487297459,family,boson,3,224.48152088072004,0.46974372303167855,0.3333333333333333
1166,12.582436487297459,family,quark,1,12.813402342686455,0.0,1.0
1167,12.592198439687936,family,lepton,3,71.3561636903014,0.1243923789564143,1.0
1167,12.592198439687936,family,meson,17,85.20299904046793,0.7930573198011108,0.8823529411764706
1167,12.592198439687936,family,baryon,7,103.29676980978002,0.5927859886156832,1.0
1167,12.592198439687936,family,boson,3,224.43030697104098,0.47142094542036117,0.3333333333333333
1167,12.592198439687936,family,quark,1,12.699260055944919,0.0,1.0
1168,12.601960392078414,family,lepton,3,68.51062075649803,0.11175842634188693,1.0
1168,12.601960392078414,family,meson,17,84.39510726516376,0.7918596236816782,0.8823529411764706
