base_index,base,circular_mean_rad,circular_mean_deg,circular_variance,resultant_length_R,entropy_bits,largest_gap_deg,largest_gap_from,largest_gap_to,top_3_gap_sum_deg,top_5_gap_sum_deg,gap_distribution_deg,cluster_count,mean_cluster_density,isolated_points,top4_symmetry_score
2381,24.443208641728344,5.374549147071062,307.9389829128082,0.7497164670565476,0.2502835329434524,3.256480488351692,61.88845726295727,Upsilon_1S,K_long,115.38051996539976,160.89027300032703,"[61.888457262957, 27.655991523573, 25.83607117887, 24.456206660112, 21.053546374815, 20.650533934707, 19.895956551509, 18.321004464454, 16.154116909568, 12.979511880924, 10.930802229812, 10.175357540835, 8.937510357654, 8.316070137615, 7.327456314645, 7.111204451689, 6.865713170878, 6.513003936688, 6.091617488172, 6.025710691478, 5.693482110373, 5.031900633412, 4.52873778665, 4.008281158188, 3.838188637478, 2.763910836893, 2.227931360092, 2.003971591007, 1.77092039085, 0.698836051454, 0.247996382648]",1,31.0,0,0.019757640067648574
2382,24.45297059411882,5.364486522870322,307.3624370152796,0.7493114911432505,0.25068850885674954,3.256480488351692,61.520998119033806,Upsilon_1S,K_long,115.20937864114414,160.5335827845795,"[61.520998119034, 27.787435469897, 25.900945052214, 24.677982506402, 20.646221637034, 20.343132569931, 20.333191763591, 18.498580519502, 16.107133051481, 12.618161751487, 11.334131934632, 10.174086578925, 8.891427896104, 8.629794209782, 7.371507186346, 7.110316220494, 6.864855602985, 6.557156538273, 6.024958044828, 5.78270318907, 5.121204347521, 5.02279937496, 4.675075796969, 3.648051588149, 2.718599494175, 2.452483648498, 2.443759690464, 2.317528867557, 1.770699192495, 1.505713040453, 1.149365116751]",1,31.0,0,0.01980405083637096
2383,24.4627325465093,5.354432607200382,306.7863900798116,0.7489310998566736,0.25106890014332645,3.256480488351692,61.15377736964314,Upsilon_1S,K_long,114.79051285600268,160.48014580467208,"[61.153777369643, 27.918794140024, 25.717941346335, 24.899614472345, 20.790018476325, 20.239161157175, 20.016055472883, 18.676041369469, 16.060179674864, 12.257046053268, 11.737199973365, 10.172816441571, 8.943314748836, 8.845375331229, 7.415529479394, 7.109428565552, 6.863998591453, 6.601280495207, 6.024205886469, 5.871866384278, 5.516540433537, 5.210450124528, 3.935171532851, 3.28805572235, 3.258284718739, 3.011617616707, 2.676890255298, 2.673317547859, 1.770478137644, 1.05023539977, 0.295313081032]",1,31.0,0,0.01985064983396214
2384,24.472494498899778,5.344389080005348,306.2109383601113,0.7485753995210096,0.25142460047899035,3.256480488351692,60.78679475364367,Upsilon_1S,K_long,114.37191869475492,160.7296359987856,"[60.786794753644, 28.050067627368, 25.535056313743, 25.121102715548, 21.236614588483, 19.699124837059, 19.489979420188, 18.853387140552, 16.013256746328, 11.896164529469, 11.581821509155, 10.171547127869, 9.25663197773, 8.799352630281, 7.459523225096, 7.108541486232, 6.86314213567, 6.645375838869, 6.023454215865, 5.960971759403, 5.451776190004, 5.299638027902, 5.20937997211, 5.009719898501, 2.928293304788, 2.901151340076, 2.628064965743, 1.770257226142, 1.349238147113, 0.558185123489, 0.342385225581]",2,15.5,0,0.01989743821158766
2385,24.482256451290255,5.3343576259158025,305.6361783784011,0.7482444829903161,0.25175551700968385,3.256480488351692,60.420050010295725,Upsilon_1S,K_long,113.95359585999216,160.97896447708172,"[60.420050010296, 28.181256025198, 25.352289824498, 25.342447393381, 21.682921223709, 19.382399630941, 19.030617958754, 17.691728638752, 15.966364232533, 11.535516923685, 10.81935830251, 10.170278636917, 9.569746119074, 8.75335976056, 7.503488454709, 7.107654981903, 6.86228623503, 6.689442600587, 6.447956031202, 6.050019377754, 6.022703032483, 5.433207835618, 5.388768121009, 5.091932262186, 3.125267062167, 2.582841715675, 2.568764079853, 1.770036457831, 1.734103175033, 1.411130103218, 0.312063792933]",2,15.5,0,0.019944417129815935
2386,24.492018403680735,5.324339934499848,305.0622069398025,0.7479384295505389,0.2520615704494611,3.256480488351692,60.05354287925936,Upsilon_1S,K_long,113.92955096886607,161.22813141655,"[60.053542879259, 28.31235942664, 25.563648662967, 25.169641748861, 22.128938698823, 19.207733949886, 19.065879629694, 15.919502100192, 15.894642936109, 11.175102979904, 10.169010967815, 9.88265739514, 8.709025110798, 8.707396689419, 7.547425199443, 7.106769051937, 6.861430888923, 6.733480811644, 6.536896355384, 6.139009302545, 6.021952335789, 5.656890682036, 5.477840467118, 4.73232147567, 3.349237580664, 3.124919436533, 2.537647765552, 2.263522463635, 2.209467792325, 1.972289382738, 1.769815832556]",2,15.5,0,0.01999158775871467
2387,24.50178035607121,5.314337700519626,304.4891211470334,0.7476573048240118,0.2523426951759881,3.256480488351692,59.68727310059051,Upsilon_1S,K_long,113.91535770646156,161.47713699391025,"[59.687273100591, 28.443377924679, 25.784706681192, 24.987111957287, 22.574667330162, 19.384735239568, 18.74956460883, 15.872670316069, 14.09872103769, 10.814922442503, 10.195366027857, 10.167744119663, 8.661463384256, 7.591333490459, 7.105883695705, 6.860576096745, 6.777490503273, 6.625779081242, 6.600058584389, 6.227941596889, 6.021202125252, 5.880428670008, 5.566855129405, 4.514834996503, 4.372943575406, 3.63143979981, 3.573063054418, 3.115362809295, 2.492483083321, 1.850404187378, 1.769595350159]",2,15.5,0,0.02003895127794843
2388,24.511542308461692,5.30435262419187,303.917018415337,0.7474011606764228,0.25259883932357713,3.256480488351692,59.32124041474447,Upsilon_1S,K_long,113.90117363160354,161.72598138561318,"[59.321240414744, 28.574311612156, 26.005621604703, 24.804700320435, 23.020107433574, 19.561621953223, 18.433454344202, 15.825868846977, 12.303961670872, 10.507872238816, 10.454975056253, 10.166478091564, 8.615559812524, 7.635213358872, 7.104998912579, 6.859721857888, 6.82147170666, 6.71460427176, 6.316816323806, 6.103821957938, 6.020452400338, 5.903850839865, 5.655812170947, 5.289516219844, 4.492457228838, 4.013798306731, 3.966651743824, 3.796743642035, 2.447347636978, 1.769375010483, 1.491573010571]",2,15.5,0,0.020086508876876994
2389,24.52130426085217,5.294386411450692,303.345996487538,0.7471700351261248,0.25282996487387527,3.256480488351692,58.95544456257193,Upsilon_1S,K_long,113.88699873425011,161.97466476783845,"[58.955444562572, 28.705160581773, 26.226393589905, 24.622406709158, 23.46525932443, 19.738394216088, 18.117548612005, 15.779097659782, 10.82017624927, 10.510363564977, 10.165212882622, 10.095260566313, 8.569685941723, 7.679064835748, 7.291967950029, 7.104114701933, 6.946519816755, 6.865424452943, 6.858868171749, 6.803371989825, 6.405633546219, 6.327070703986, 6.019703160519, 5.744711654726, 4.817389869934, 4.020279501879, 3.654885415372, 2.402241394565, 2.38621955197, 1.769154813375, 1.132974007854]",2,15.5,0,0.020134261754655342
2390,24.531066213242646,5.284440774211172,302.77615344914534,0.7469639522557705,0.25303604774422944,3.256480488351692,58.58988528532063,Upsilon_1S,K_long,113.87283300437377,162.2231873164975,"[58.589885285321, 28.835924926086, 26.447022792967, 24.440230994506, 23.910123317617, 19.915052153206, 17.801847188778, 15.732356721398, 11.132278280133, 10.163948491942, 9.735778718231, 8.717925451267, 8.679187308913, 8.602451762653, 8.523841739403, 7.722887952106, 7.103231063142, 6.909348773214, 6.89208229823, 6.858015037722, 6.550175066072, 6.494393326955, 6.018954405263, 5.833553643625, 5.667577789408, 4.243670792073, 3.296204647447, 2.357164324179, 1.768934758676, 0.774606925566, 0.281344063902]",2,15.5,0,0.02018221112033454
2391,24.540828165633126,5.27451743063183,302.20758774339083,0.7467829221261589,0.25321707787384107,3.256480488351692,58.22456232463276,Upsilon_1S,K_long,113.85867643196359,162.47154920723142,"[58.224562324633, 28.966604737515, 26.667509369816, 24.35469972754, 24.258173047728, 20.091595889429, 17.4863498514, 15.685645998792, 11.444178551982, 10.162684918629, 10.065509896923, 9.376529257947, 8.478027173164, 8.435142504882, 7.766682738919, 7.102347995581, 6.980735259668, 6.953244698516, 6.926646062947, 6.857162455206, 6.773135201874, 6.583095728744, 6.018206134041, 5.922338200434, 4.695045380133, 4.466917670497, 2.937755749458, 2.312116393959, 1.82217072298, 1.768714846232, 0.416471510431]",2,15.5,0,0.020230358192964103
2392,24.550590118023603,5.26461810537444,301.64039818611514,0.7466269406922995,0.2533730593077005,3.272294197889533,57.85947542254492,Upsilon_1S,K_long,113.84452900702256,162.71975061541593,"[57.859475422545, 29.097200108334, 26.887853476143, 24.798988868125, 24.076232740268, 20.268025549419, 17.17105637709, 15.638965458981, 11.755877285057, 11.45093669298, 10.161422161793, 9.017511931784, 8.432242210656, 7.9867790869, 7.81044922711, 7.101465498627, 7.069330936742, 6.997112259845, 6.99595126883, 6.856310423598, 6.671740814221, 6.017458346325, 6.011065387844, 5.136524135146, 4.690020294793, 3.924326294023, 3.441979116979, 2.579538468296, 2.267097572097, 1.768495075888, 0.058567509563]",2,15.5,0,0.020278704201695662
2393,24.56035207041408,5.254744529859435,301.07468398040163,0.7464959897215969,0.2535040102784031,3.247942988142324,57.49462432148698,Upsilon_1S,K_long,113.83039071957018,162.96779171615745,"[57.494624321487, 29.22771113068, 27.108055267403, 25.24299105282, 23.894409943768, 20.444341257648, 16.855966543409, 15.592315069031, 12.835468674504, 12.067374699263, 10.160160220541, 8.658726486455, 8.386486819576, 7.854187447558, 7.538705256288, 7.218623424136, 7.157869391954, 7.040951488149, 6.855458942298, 6.801478242114, 6.760328645925, 6.099735268455, 6.0251241323, 6.016711041588, 4.912978822359, 3.34755840493, 2.22210782683, 2.221552551237, 2.189722179807, 1.469170117945, 0.299105329543]",2,15.5,0,0.020327250385887827
2394,24.57011402280456,5.24489844251497,300.51054473084656,0.7463900367141472,0.2536099632858528,3.230779472799115,57.130008764282586,Upsilon_1S,K_long,113.81626155964074,163.215672684296,"[57.130008764283, 29.358137896547, 27.328114898812, 25.686706594593, 23.712704530062, 20.620543138397, 16.541080128254, 15.545694796058, 14.219106817426, 12.378671014168, 10.158899093984, 8.340760967673, 8.300172669059, 8.124565718624, 7.897897431092, 7.441151824752, 7.246350687715, 7.090920697207, 7.084762414331, 6.854608010704, 6.848859286301, 6.443154955047, 6.188347904767, 6.015964219302, 5.135793410354, 2.177147126449, 1.863797745947, 1.559747611292, 1.111508701876, 0.938273685925, 0.656547259001]",2,15.5,0,0.020375997995212093
2395,24.579875975195037,5.235081589017873,299.9480804573647,0.7463090348250985,0.2536909651749015,3.1951858260971715,56.76562849414611,Upsilon_1S,K_long,113.80214151728347,163.463393694405,"[56.765628494146, 29.488480497789, 27.548032525348, 26.130135805938, 23.531116371184, 20.796631315758, 16.226396909864, 15.49910460723, 15.374942591331, 12.689766449007, 10.157638781235, 9.910285285541, 8.295064622743, 7.941850227079, 7.941579208496, 7.663536627394, 7.334774886338, 7.128545069243, 6.937332797697, 6.853757628218, 6.643425094299, 6.276903359187, 6.085062894635, 5.788308374083, 5.358464215699, 2.132215439287, 1.193906554452, 1.013758530547, 0.754078085355, 0.312367246015, 0.226909504859]",2,15.5,0,0.020424948289760693
2396,24.589637927585514,5.225295722524682,299.38739160842636,0.7462529227890617,0.2537470772109383,3.1951858260971715,56.40148325468455,Upsilon_1S,K_long,113.7880305825631,163.71095492079158,"[56.401483254685, 29.618739026122, 27.767808301756, 26.57327899887, 23.349645339358, 20.972605913636, 15.911916666812, 15.039323436974, 14.971291283067, 13.000661222681, 10.757184551379, 10.156379281406, 8.249397752633, 7.985232810506, 7.885777988543, 7.583758908385, 7.423142050043, 7.172299483694, 7.025749242366, 6.852907794241, 6.365401694026, 6.196218132687, 5.72720180891, 5.580991395075, 4.002057819292, 2.087312733729, 2.012414200692, 1.370739395528, 1.148980463231, 0.413221032792, 0.39687801688]",2,15.5,0,0.020474102540155158
2397,24.599399879975994,5.215542603890508,298.82857907359784,0.7462216248465372,0.25377837515346285,3.1951858260971715,56.0375727898934,Upsilon_1S,K_long,113.77392874555812,163.9583565374959,"[56.037572789893, 29.748913573121, 27.987442382544, 27.01613648493, 23.168291307008, 21.148467055744, 15.597639178013, 14.567900220146, 13.386701891223, 13.311355553755, 11.603537797457, 10.155120593612, 8.203760325238, 8.107876064439, 8.028858267813, 7.511452240954, 7.225898461229, 7.216025688445, 7.114108682469, 6.852058508177, 6.453842971502, 5.803375104924, 5.749299497973, 5.369571446284, 3.796767731462, 2.216958910439, 2.042438978208, 2.019312459707, 1.727490104913, 0.791917483053, 0.039908245328]",2,15.5,0,0.02052346202765693
2398,24.60916183236647,5.205824001874037,298.27174419528666,0.7462150506723723,0.25378494932762774,3.2709443920841643,55.67389684416019,Upsilon_1S,K_long,113.75983599636453,164.20559871829627,"[55.67389684416, 29.87900423022, 28.206934921984, 27.458708575183, 22.987054146749, 21.324214865609, 15.283564222716, 14.164769119225, 13.621849660464, 12.449345618258, 11.735145363618, 10.153862716969, 8.329831011087, 8.158152308501, 8.072455611057, 7.599705521099, 7.259723714208, 7.202411180069, 6.868268634247, 6.542227253735, 6.534378289389, 6.025615501449, 5.57997135051, 5.302668876239, 5.012171555557, 3.624368854422, 1.997594141204, 1.767179429245, 0.435084609127, 0.433010393661, 0.316831480038]",3,10.333333333333334,1,0.020573028044278324
