variant,tau_stable_s,base,base_value,category_type,category,particle_count,angular_centroid_deg,angular_variance
stable_truncated_1e+25,1e+25,phi,1.618033988749895,family,baryon,7,306.96247428045746,0.8447426984056335
stable_truncated_1e+25,1e+25,phi,1.618033988749895,family,boson,3,247.5538294628846,0.06934135803612762
stable_truncated_1e+25,1e+25,phi,1.618033988749895,family,lepton,3,12.797665396050705,0.4767699560087618
stable_truncated_1e+25,1e+25,phi,1.618033988749895,family,meson,17,245.81456104142723,0.668291768059887
stable_truncated_1e+25,1e+25,phi,1.618033988749895,family,quark,1,161.8721785102116,0.0
stable_truncated_1e+25,1e+25,phi,1.618033988749895,dominant_interaction,electromagnetic,2,340.22273272309604,0.3248510101744633
stable_truncated_1e+25,1e+25,phi,1.618033988749895,dominant_interaction,mixed,3,240.69390202673105,0.7500273663072239
stable_truncated_1e+25,1e+25,phi,1.618033988749895,dominant_interaction,stable,2,205.99589960218051,0.6385679265929394
stable_truncated_1e+25,1e+25,phi,1.618033988749895,dominant_interaction,strong,4,214.61929805113587,0.49946640076454574
stable_truncated_1e+25,1e+25,phi,1.618033988749895,dominant_interaction,weak,20,262.0615310733541,0.7289553625932937
stable_truncated_1e+25,1e+25,10,10.0,family,baryon,7,142.22193721919373,0.6374535353180173
stable_truncated_1e+25,1e+25,10,10.0,family,boson,3,268.7267251664474,0.03807863174624626
stable_truncated_1e+25,1e+25,10,10.0,family,lepton,3,3.8980054451840305,0.44656328653921507
stable_truncated_1e+25,1e+25,10,10.0,family,meson,17,107.95398172126954,0.8692653261824962
stable_truncated_1e+25,1e+25,10,10.0,family,quark,1,50.00703705893419,1.1102230246251565e-16
stable_truncated_1e+25,1e+25,10,10.0,dominant_interaction,electromagnetic,2,227.226658811,0.6414996616236393
stable_truncated_1e+25,1e+25,10,10.0,dominant_interaction,mixed,3,226.32444167097822,0.2770057694003508
stable_truncated_1e+25,1e+25,10,10.0,dominant_interaction,stable,2,80.57835622732298,0.32445588758836885
stable_truncated_1e+25,1e+25,10,10.0,dominant_interaction,strong,4,51.92116382785078,0.7269017879447233
stable_truncated_1e+25,1e+25,10,10.0,dominant_interaction,weak,20,67.95092262864142,0.915565276513679
stable_truncated_1e+30,1e+30,2,2.0,family,baryon,7,137.94609518093776,0.9022878430409863
stable_truncated_1e+30,1e+30,2,2.0,family,boson,3,177.74782506171945,0.44913647329285067
stable_truncated_1e+30,1e+30,2,2.0,family,lepton,3,229.59855945932227,0.5799242922024126
stable_truncated_1e+30,1e+30,2,2.0,family,meson,17,247.40526841180431,0.8203230062750783
stable_truncated_1e+30,1e+30,2,2.0,family,quark,1,282.01389550759745,0.0
stable_truncated_1e+30,1e+30,2,2.0,dominant_interaction,electromagnetic,2,74.3011926088991,0.6045838137492012
stable_truncated_1e+30,1e+30,2,2.0,dominant_interaction,mixed,3,126.52335225622696,0.6997718080542916
stable_truncated_1e+30,1e+30,2,2.0,dominant_interaction,stable,2,116.22238460309234,0.11998100260757727
stable_truncated_1e+30,1e+30,2,2.0,dominant_interaction,strong,4,284.57699873699823,0.562013271237689
stable_truncated_1e+30,1e+30,2,2.0,dominant_interaction,weak,20,239.6365485189162,0.6753010173542877
stable_truncated_1e+30,1e+30,e,2.718281828459045,family,baryon,7,257.0553764343606,0.6122262174062776
stable_truncated_1e+30,1e+30,e,2.718281828459045,family,boson,3,253.88782685289942,0.3671882374431813
stable_truncated_1e+30,1e+30,e,2.718281828459045,family,lepton,3,176.89037054717917,0.1966749146742981
stable_truncated_1e+30,1e+30,e,2.718281828459045,family,meson,17,50.38824207002423,0.9170825267214938
stable_truncated_1e+30,1e+30,e,2.718281828459045,family,quark,1,224.07609155455916,0.0
stable_truncated_1e+30,1e+30,e,2.718281828459045,dominant_interaction,electromagnetic,2,347.86188469833536,0.35626400122196056
stable_truncated_1e+30,1e+30,e,2.718281828459045,dominant_interaction,mixed,3,160.69424663445326,0.3657651363780301
stable_truncated_1e+30,1e+30,e,2.718281828459045,dominant_interaction,stable,2,35.466145976610036,0.9515513519113048
stable_truncated_1e+30,1e+30,e,2.718281828459045,dominant_interaction,strong,4,238.66709542408105,0.20796291172956827
stable_truncated_1e+30,1e+30,e,2.718281828459045,dominant_interaction,weak,20,232.84528034893626,0.8960672914643978
stable_truncated_1e+30,1e+30,pi,3.141592653589793,family,baryon,7,300.86370938479814,0.9249589604761108
stable_truncated_1e+30,1e+30,pi,3.141592653589793,family,boson,3,184.92148215716173,0.10248107344700996
stable_truncated_1e+30,1e+30,pi,3.141592653589793,family,lepton,3,234.2540063537727,0.5800979774369677
stable_truncated_1e+30,1e+30,pi,3.141592653589793,family,meson,17,273.072303654666,0.7223557403515835
stable_truncated_1e+30,1e+30,pi,3.141592653589793,family,quark,1,104.71516051495932,0.0
stable_truncated_1e+30,1e+30,pi,3.141592653589793,dominant_interaction,electromagnetic,2,297.6972300629147,0.2972620002204487
stable_truncated_1e+30,1e+30,pi,3.141592653589793,dominant_interaction,mixed,3,166.7031892254889,0.6855970292549305
stable_truncated_1e+30,1e+30,pi,3.141592653589793,dominant_interaction,stable,2,194.6577983002672,0.7964709865297842
stable_truncated_1e+30,1e+30,pi,3.141592653589793,dominant_interaction,strong,4,116.5805930217793,0.665522075299308
stable_truncated_1e+30,1e+30,pi,3.141592653589793,dominant_interaction,weak,20,251.05958335857935,0.7083986226206924
stable_truncated_1e+30,1e+30,phi,1.618033988749895,family,baryon,7,329.7095434871474,0.827472957488553
stable_truncated_1e+30,1e+30,phi,1.618033988749895,family,boson,3,247.5538294628846,0.06934135803612762
stable_truncated_1e+30,1e+30,phi,1.618033988749895,family,lepton,3,21.39582375216615,0.6175229239515483
stable_truncated_1e+30,1e+30,phi,1.618033988749895,family,meson,17,245.81456104142723,0.668291768059887
stable_truncated_1e+30,1e+30,phi,1.618033988749895,family,quark,1,161.8721785102116,0.0
stable_truncated_1e+30,1e+30,phi,1.618033988749895,dominant_interaction,electromagnetic,2,340.22273272309604,0.3248510101744633
stable_truncated_1e+30,1e+30,phi,1.618033988749895,dominant_interaction,mixed,3,240.69390202673105,0.7500273663072239
stable_truncated_1e+30,1e+30,phi,1.618033988749895,dominant_interaction,stable,2,178.94543980917888,0.6385679265927731
stable_truncated_1e+30,1e+30,phi,1.618033988749895,dominant_interaction,strong,4,214.61929805113587,0.49946640076454574
stable_truncated_1e+30,1e+30,phi,1.618033988749895,dominant_interaction,weak,20,262.0615310733541,0.7289553625932937
stable_truncated_1e+30,1e+30,10,10.0,family,baryon,7,142.22193721919473,0.6374535353180157
stable_truncated_1e+30,1e+30,10,10.0,family,boson,3,268.7267251664474,0.03807863174624626
stable_truncated_1e+30,1e+30,10,10.0,family,lepton,3,3.8980054451826858,0.44656328653920785
stable_truncated_1e+30,1e+30,10,10.0,family,meson,17,107.95398172126954,0.8692653261824962
stable_truncated_1e+30,1e+30,10,10.0,family,quark,1,50.00703705893419,1.1102230246251565e-16
stable_truncated_1e+30,1e+30,10,10.0,dominant_interaction,electromagnetic,2,227.226658811,0.6414996616236393
stable_truncated_1e+30,1e+30,10,10.0,dominant_interaction,mixed,3,226.32444167097822,0.2770057694003508
stable_truncated_1e+30,1e+30,10,10.0,dominant_interaction,stable,2,80.57835622732297,0.3244558875884017
stable_truncated_1e+30,1e+30,10,10.0,dominant_interaction,strong,4,51.92116382785078,0.7269017879447233
stable_truncated_1e+30,1e+30,10,10.0,dominant_interaction,weak,20,67.95092262864142,0.915565276513679
stable_truncated_1e+35,1e+35,2,2.0,family,baryon,7,272.63187249378893,0.8089085341665131
stable_truncated_1e+35,1e+35,2,2.0,family,boson,3,177.74782506171945,0.44913647329285067
stable_truncated_1e+35,1e+35,2,2.0,family,lepton,3,304.1327905500855,0.4085532373730826
stable_truncated_1e+35,1e+35,2,2.0,family,meson,17,247.40526841180431,0.8203230062750783
stable_truncated_1e+35,1e+35,2,2.0,family,quark,1,282.01389550759745,0.0
stable_truncated_1e+35,1e+35,2,2.0,dominant_interaction,electromagnetic,2,74.3011926088991,0.6045838137492012
stable_truncated_1e+35,1e+35,2,2.0,dominant_interaction,mixed,3,126.52335225622696,0.6997718080542916
stable_truncated_1e+35,1e+35,2,2.0,dominant_interaction,stable,2,335.6929554003409,0.11998100260761979
stable_truncated_1e+35,1e+35,2,2.0,dominant_interaction,strong,4,284.57699873699823,0.562013271237689
stable_truncated_1e+35,1e+35,2,2.0,dominant_interaction,weak,20,239.6365485189162,0.6753010173542877
stable_truncated_1e+35,1e+35,e,2.718281828459045,family,baryon,7,210.5828659297153,0.6834308597877994
stable_truncated_1e+35,1e+35,e,2.718281828459045,family,boson,3,253.88782685289942,0.3671882374431813
stable_truncated_1e+35,1e+35,e,2.718281828459045,family,lepton,3,230.08573165662636,0.3455475749805704
stable_truncated_1e+35,1e+35,e,2.718281828459045,family,meson,17,50.38824207002423,0.9170825267214938
stable_truncated_1e+35,1e+35,e,2.718281828459045,family,quark,1,224.07609155455916,0.0
stable_truncated_1e+35,1e+35,e,2.718281828459045,dominant_interaction,electromagnetic,2,347.86188469833536,0.35626400122196056
stable_truncated_1e+35,1e+35,e,2.718281828459045,dominant_interaction,mixed,3,160.69424663445326,0.3657651363780301
stable_truncated_1e+35,1e+35,e,2.718281828459045,dominant_interaction,stable,2,220.1193133658905,0.9515513519113938
stable_truncated_1e+35,1e+35,e,2.718281828459045,dominant_interaction,strong,4,238.66709542408105,0.20796291172956827
stable_truncated_1e+35,1e+35,e,2.718281828459045,dominant_interaction,weak,20,232.84528034893626,0.8960672914643978
stable_truncated_1e+35,1e+35,pi,3.141592653589793,family,baryon,7,268.4754549350585,0.9049501909382495
stable_truncated_1e+35,1e+35,pi,3.141592653589793,family,boson,3,184.92148215716173,0.10248107344700996
stable_truncated_1e+35,1e+35,pi,3.141592653589793,family,lepton,3,247.62282650731805,0.6610133371128142
stable_truncated_1e+35,1e+35,pi,3.141592653589793,family,meson,17,273.072303654666,0.7223557403515835
stable_truncated_1e+35,1e+35,pi,3.141592653589793,family,quark,1,104.71516051495932,0.0
stable_truncated_1e+35,1e+35,pi,3.141592653589793,dominant_interaction,electromagnetic,2,297.6972300629147,0.2972620002204487
stable_truncated_1e+35,1e+35,pi,3.141592653589793,dominant_interaction,mixed,3,166.7031892254889,0.6855970292549305
stable_truncated_1e+35,1e+35,pi,3.141592653589793,dominant_interaction,stable,2,215.2963599587761,0.7964709865298714
stable_truncated_1e+35,1e+35,pi,3.141592653589793,dominant_interaction,strong,4,116.5805930217793,0.665522075299308
stable_truncated_1e+35,1e+35,pi,3.141592653589793,dominant_interaction,weak,20,251.05958335857935,0.7083986226206924
stable_truncated_1e+35,1e+35,phi,1.618033988749895,family,baryon,7,339.77743189392936,0.7705024485928292
stable_truncated_1e+35,1e+35,phi,1.618033988749895,family,boson,3,247.5538294628846,0.06934135803612762
stable_truncated_1e+35,1e+35,phi,1.618033988749895,family,lepton,3,45.13136114004421,0.674536614480332
stable_truncated_1e+35,1e+35,phi,1.618033988749895,family,meson,17,245.81456104142723,0.668291768059887
stable_truncated_1e+35,1e+35,phi,1.618033988749895,family,quark,1,161.8721785102116,0.0
stable_truncated_1e+35,1e+35,phi,1.618033988749895,dominant_interaction,electromagnetic,2,340.22273272309604,0.3248510101744633
stable_truncated_1e+35,1e+35,phi,1.618033988749895,dominant_interaction,mixed,3,240.69390202673105,0.7500273663072239
stable_truncated_1e+35,1e+35,phi,1.618033988749895,dominant_interaction,stable,2,151.89498001617721,0.6385679265931059
stable_truncated_1e+35,1e+35,phi,1.618033988749895,dominant_interaction,strong,4,214.61929805113587,0.49946640076454574
stable_truncated_1e+35,1e+35,phi,1.618033988749895,dominant_interaction,weak,20,262.0615310733541,0.7289553625932937
stable_truncated_1e+35,1e+35,10,10.0,family,baryon,7,142.22193721919373,0.6374535353180173
