particle_a,particle_b,bases_close_count,fraction_of_bases_close,mean_3d_distance,min_3d_distance,max_3d_distance
Sigma_plus,B0,4,0.4444444444444444,1.7091489457260594,1.174654311786315,2.2664138387751587
eta,Higgs,4,0.4444444444444444,1.7973837313306005,1.413078996388965,2.2737836952252497
Delta_1232,rho_770,3,0.3333333333333333,1.5328314012505009,0.3154933700385005,2.006731603654995
D_plus,Ds_plus,3,0.3333333333333333,1.5375997711485019,0.35003109142733074,1.9479961226275737
Lambda,Sigma_plus,3,0.3333333333333333,1.596500746040766,0.5060831493844814,2.056978840948779
Omega_minus,K_short,3,0.3333333333333333,1.6058587241205362,0.5000696546576778,2.0581847067104224
tau,D_plus,3,0.3333333333333333,1.6686283378843965,0.8229844380306685,2.042617306905602
D_plus,B_plus,3,0.3333333333333333,1.6790671872272307,0.9618789316700477,2.103286453174785
Delta_1232,Z,3,0.3333333333333333,1.7009174169136727,0.7858225059168241,2.054964001298062
Omega_minus,B_plus,3,0.3333333333333333,1.720337490338423,1.202080043859959,2.3326256821526132
tau,Bs0,3,0.3333333333333333,1.7237884600130617,1.1979498842435716,2.3312995990328322
tau,B0,3,0.3333333333333333,1.732931178531613,1.1950570425378935,2.327293510490612
Lambda,pi_plus,3,0.3333333333333333,1.7574249503387678,1.242824918360179,2.276210543634829
eta,J_psi,3,0.3333333333333333,1.7644679186153678,1.2557266687424593,2.274415170714673
Xi_minus,K_plus,3,0.3333333333333333,1.9636770058127166,1.4975346791473114,2.457039889449287
Delta_1232,W,2,0.2222222222222222,1.6812955755105756,0.9280116269235624,2.037381858850489
K_short,B0,2,0.2222222222222222,1.7073830772778704,0.8521789856834515,2.1343524709038038
K_short,Bs0,2,0.2222222222222222,1.7291428487586389,0.8730181786517633,2.130019275561771
J_psi,Upsilon_1S,2,0.2222222222222222,1.7680299285619963,0.9370705034934739,2.1184874146646835
K_short,B_plus,2,0.2222222222222222,1.777891337955107,0.9745362432605247,2.118519935748999
Lambda,K_plus,2,0.2222222222222222,1.9952810171899824,1.3359131928963313,2.294934994827128
