base,from_entity,to_entity,from_theta_deg,to_theta_deg,gap_deg,gap_fraction,from_log10_N,to_log10_N,from_frequency_hz,to_frequency_hz,from_cycles,to_cycles
2,Omega_minus,B_plus,329.86449606971604,333.83841730491525,3.9739212351992355,0.011038670097775654,13.521150664275083,12.320353652430827,4.043966107924921e+23,1.2765556584555537e+24,33200961746063.605,2090998168550.197
2,neutron,J_psi,132.10335990766396,134.0057428546659,1.9023829470019509,0.005284397075005419,26.300073716822478,3.7244148040524654,2.2718590824858967e+23,7.488270883812783e+23,1.9956010180556114e+26,5301.695785739452
2,D_plus,Upsilon_1S,275.2679022919142,276.18891144594073,0.9210091540265675,0.0025583587611849095,11.669317322546195,4.445367569337434,4.5208177663564874e+23,2.2875145425820157e+24,467000475264.6251,27884.802274074773
2,muon,pi_plus,230.25129714230815,231.16882831841625,0.9175311761081034,0.0025486977114113985,16.74918461424223,14.943771874719356,2.5548081529516867e+22,3.374797015335964e+22,5.612865226160765e+16,878560907002411.5
2,Sigma_plus,pi0,140.53859048800888,141.0092595515725,0.47066906356363497,0.0013074140654545415,13.362837396118582,6.439541066697468,2.8758838648585384e+23,3.2637245033104756e+22,23058836828435.76,2751319.756290731
2,pi0,K_plus,141.0092595515725,141.256764555757,0.24750500418448207,0.0006875139005124501,6.439541066697468,15.169617903259415,3.2637245033104756e+22,1.193705675064756e+23,2751319.756290731,1477807625730168.0
e,K_short,eta,2.9236129709227043,37.79091367246657,34.86730070154387,0.09685361305984408,13.032361426487812,4.82282926003031,1.2032180447431181e+23,1.3247244221471272e+23,10773614372629.879,66501.16599178579
e,pi_plus,Higgs,147.35028665969168,174.75749423715177,27.407207577460106,0.07613113215961141,14.943771874719356,3.685178675832777,3.374797015335964e+22,3.027322531090317e+25,878560907002411.5,4843.716049744508
e,omega_782,Z,246.80600705716697,274.1286037435526,27.322596686385648,0.07589610190662681,1.1663292053773442,0.7649959817301074,1.892463460210182e+23,2.204916030072395e+25,14.666591816628907,5.820978319391123
e,D0,K_short,339.72512580634526,2.9236129709227043,23.1984871645774,0.06444024212382611,11.267197457307917,13.032361426487812,4.509163058209639e+23,1.2032180447431181e+23,185010960278.34146,10773614372629.879
e,Omega_minus,Ds_plus,48.09598548708479,71.21444342632657,23.118457939241782,0.06421793872011607,13.521150664275083,11.377567751184174,4.043966107924921e+23,4.759449124657848e+23,33200961746063.605,238543590127.85135
e,Upsilon_1S,B0,84.90135529279847,105.1128332626287,20.21147796983023,0.056142994360639534,4.445367569337434,12.287050836244319,2.2875145425820157e+24,1.2766306161220584e+24,27884.802274074773,1936648644657.1626
e,Bs0,K_long,110.7733189256895,128.21362200770892,17.44030308201942,0.04844528633894283,12.293879496489762,15.789274872247002,1.297717900302281e+24,1.2032180447431181e+23,1967340336858.258,6155663516905793.0
e,phi_1020,omega_782,231.4981379757878,246.80600705716697,15.307869081379158,0.042521858559386554,1.582156678747984,1.1663292053773442,2.4650457307251326e+23,1.892463460210182e+23,38.208208826239556,14.666591816628907
e,pi0,D_plus,297.9328557242042,313.0546004323415,15.12174470813727,0.042004846411492415,6.439541066697468,11.669317322546195,3.2637245033104756e+22,4.5208177663564874e+23,2751319.756290731,467000475264.6251
e,Lambda,K_plus,319.69364723529384,334.56097816585896,14.86733093056513,0.04129814147379203,13.84879890259473,15.169617903259415,2.6977094915770273e+23,1.193705675064756e+23,70599057394570.8,1477807625730168.0
e,B_plus,pi_plus,132.71855778070858,147.35028665969168,14.631728878983099,0.04064369133050861,12.320353652430827,14.943771874719356,1.2765556584555537e+24,3.374797015335964e+22,2090998168550.197,878560907002411.5
e,Sigma_plus,rho_770,276.8652678261655,291.48086791118334,14.615600085017817,0.04059888912504949,13.362837396118582,-0.08265966936381419,2.8758838648585384e+23,1.8745703398187536e+23,23058836828435.76,0.8266855198600702
e,Ds_plus,Upsilon_1S,71.21444342632657,84.90135529279847,13.686911866471897,0.038019199629088604,11.377567751184174,4.445367569337434,4.759449124657848e+23,2.2875145425820157e+24,238543590127.85135,27884.802274074773
e,Delta_1232,tau,184.23240226009023,197.79086672343894,13.55846446334873,0.03766240128707981,0.22225309913704822,11.09597171977255,2.978962746248619e+23,4.2965976239379536e+23,1.6682191378992266,124730229022.9188
e,Xi_minus,top,212.23985923334297,224.07609155455916,11.836232321216189,0.032878423114489415,13.719169493736818,1.1389084362748172,3.195880561156057e+23,4.172482236141734e+25,52380482397347.77,13.769191379267722
e,eta,Omega_minus,37.79091367246657,48.09598548708479,10.305071814618215,0.028625199485050597,4.82282926003031,13.521150664275083,1.3247244221471272e+23,4.043966107924921e+23,66501.16599178579,33200961746063.605
e,Higgs,Delta_1232,174.75749423715177,184.23240226009023,9.474908022938429,0.026319188952606747,3.685178675832777,0.22225309913704822,3.027322531090317e+25,2.978962746248619e+23,4843.716049744508,1.6682191378992266
e,top,phi_1020,224.07609155455916,231.4981379757878,7.422046421228637,0.02061679561452399,1.1389084362748172,1.582156678747984,4.172482236141734e+25,2.4650457307251326e+23,13.769191379267722,38.208208826239556
e,D_plus,Lambda,313.0546004323415,319.69364723529384,6.63904680295234,0.01844179667486761,11.669317322546195,13.84879890259473,4.5208177663564874e+23,2.6977094915770273e+23,467000475264.6251,70599057394570.8
e,B0,Bs0,105.1128332626287,110.7733189256895,5.660485663060794,0.015723571286279985,12.287050836244319,12.293879496489762,1.2766306161220584e+24,1.297717900302281e+24,1936648644657.1626,1967340336858.258
e,K_plus,D0,334.56097816585896,339.72512580634526,5.164147640486331,0.014344854556906476,15.169617903259415,11.267197457307917,1.193705675064756e+23,4.509163058209639e+23,1477807625730168.0,185010960278.34146
e,J_psi,Xi_minus,207.28152285751653,212.23985923334297,4.958336375826435,0.013773156599517875,3.7244148040524654,13.719169493736818,7.488270883812783e+23,3.195880561156057e+23,5301.695785739452,52380482397347.77
e,W,pi0,293.38889864731306,297.9328557242042,4.543957076891177,0.01262210299136438,0.7882310922760309,6.439541066697468,1.9433186099497117e+25,3.2637245033104756e+22,6.140886807441088,2751319.756290731
e,K_long,B_plus,128.21362200770892,132.71855778070858,4.504935772999666,0.012513710480554628,15.789274872247002,12.320353652430827,1.2032180447431181e+23,1.2765556584555537e+24,6155663516905793.0,2090998168550.197
