record_type,members,member_count,persistence_neighbor_score
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""neutron"", ""omega_782"", ""rho_770"", ""tau"", ""top""]",11,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""rho_770"", ""tau"", ""top""]",12,0.008333333333333333
cluster,"[""Higgs"", ""J_psi"", ""Omega_minus"", ""W"", ""Z"", ""neutron"", ""pi0"", ""pi_plus""]",8,0.008333333333333333
cluster,"[""D0"", ""Ds_plus"", ""rho_770""]",3,0.008333333333333333
cluster,"[""Sigma_plus"", ""eta"", ""neutron""]",3,0.008333333333333333
cluster,"[""D0"", ""Ds_plus"", ""K_long"", ""omega_782"", ""top""]",5,0.008333333333333333
cluster,"[""D_plus"", ""Upsilon_1S"", ""neutron"", ""phi_1020""]",4,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""W"", ""Xi_minus"", ""Z"", ""muon"", ""pi0"", ""tau""]",13,0.008333333333333333
cluster,"[""Delta_1232"", ""Omega_minus"", ""pi_plus""]",3,0.008333333333333333
cluster,"[""Sigma_plus"", ""Upsilon_1S"", ""phi_1020""]",3,0.008333333333333333
cluster,"[""Omega_minus"", ""Upsilon_1S"", ""rho_770""]",3,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""eta"", ""muon"", ""phi_1020"", ""rho_770""]",13,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""phi_1020"", ""rho_770""]",10,0.008333333333333333
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long""]",5,0.008333333333333333
cluster,"[""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""W"", ""Z""]",6,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""neutron"", ""phi_1020"", ""rho_770""]",7,0.008333333333333333
cluster,"[""K_plus"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""omega_782"", ""top""]",7,0.008333333333333333
cluster,"[""Xi_minus"", ""neutron"", ""omega_782"", ""top""]",4,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""neutron"", ""omega_782"", ""top""]",9,0.008333333333333333
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""Xi_minus"", ""muon"", ""pi_plus""]",10,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""W"", ""Z""]",5,0.008333333333333333
cluster,"[""D_plus"", ""Delta_1232"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""pi_plus""]",7,0.008333333333333333
cluster,"[""D_plus"", ""Delta_1232"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""phi_1020"", ""pi_plus"", ""rho_770""]",9,0.008333333333333333
cluster,"[""Higgs"", ""J_psi"", ""Lambda"", ""Xi_minus""]",4,0.008333333333333333
cluster,"[""D0"", ""D_plus"", ""Ds_plus"", ""K_short"", ""Sigma_plus"", ""Upsilon_1S"", ""eta"", ""muon"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi0"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",16,0.008333333333333333
cluster,"[""eta"", ""pi0"", ""pi_plus""]",3,0.008333333333333333
cluster,"[""D_plus"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""phi_1020"", ""rho_770""]",7,0.008333333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_long"", ""Lambda"", ""Xi_minus""]",9,0.008333333333333333
cluster,"[""D_plus"", ""Sigma_plus"", ""eta"", ""muon"", ""pi0"", ""pi_plus""]",6,0.008333333333333333
cluster,"[""K_plus"", ""Omega_minus"", ""phi_1020"", ""rho_770""]",4,0.008333333333333333
cluster,"[""B0"", ""Upsilon_1S"", ""neutron"", ""tau""]",4,0.004166666666666667
cluster,"[""Bs0"", ""D0"", ""D_plus"", ""K_long"", ""Xi_minus"", ""pi0"", ""top""]",7,0.004166666666666667
cluster,"[""B_plus"", ""Higgs"", ""K_plus"", ""K_short"", ""muon""]",5,0.004166666666666667
cluster,"[""Delta_1232"", ""Ds_plus"", ""Omega_minus"", ""Sigma_plus"", ""Z"", ""omega_782"", ""pi_plus""]",7,0.004166666666666667
cluster,"[""J_psi"", ""Lambda"", ""W"", ""eta"", ""phi_1020"", ""rho_770""]",6,0.004166666666666667
cluster,"[""B0"", ""Bs0"", ""D0"", ""K_short"", ""W"", ""neutron"", ""pi_plus"", ""rho_770""]",8,0.004166666666666667
cluster,"[""B_plus"", ""Omega_minus"", ""Sigma_plus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""top""]",8,0.004166666666666667
cluster,"[""K_plus"", ""Lambda"", ""omega_782""]",3,0.004166666666666667
cluster,"[""D_plus"", ""Ds_plus"", ""K_long"", ""Upsilon_1S"", ""Xi_minus"", ""Z""]",6,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""K_long"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""Xi_minus"", ""Z"", ""eta"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",20,0.004166666666666667
cluster,"[""Delta_1232"", ""Ds_plus"", ""J_psi"", ""K_short"", ""Lambda"", ""muon"", ""pi0""]",7,0.004166666666666667
cluster,"[""D_plus"", ""K_long"", ""Upsilon_1S"", ""Xi_minus"", ""phi_1020""]",5,0.004166666666666667
cluster,"[""J_psi"", ""K_short"", ""top""]",3,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""K_plus"", ""Lambda"", ""Sigma_plus"", ""eta"", ""omega_782"", ""rho_770""]",10,0.004166666666666667
cluster,"[""Delta_1232"", ""muon"", ""neutron"", ""pi_plus""]",4,0.004166666666666667
cluster,"[""Z"", ""pi0"", ""tau""]",3,0.004166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D_plus"", ""Ds_plus"", ""Lambda"", ""Omega_minus"", ""Z"", ""neutron"", ""tau""]",10,0.004166666666666667
