peak_rank,peak_base,peak_score,expression,n,constant_value,absolute_error,relative_error,match_rank_for_peak
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),4,3.5449077018110318,0.03132498526772309,0.008915397130180806,1
84,3.5135827165433087,0.0384701896390299,n*phi,2,3.23606797749979,0.27751473904351887,0.07898340851259085,2
84,3.5135827165433087,0.0384701896390299,n*pi,1,3.141592653589793,0.37199006295351555,0.10587200955937147,3
84,3.5135827165433087,0.0384701896390299,pi^n,1,3.141592653589793,0.37199006295351555,0.10587200955937147,4
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),3,3.0699801238394655,0.44360259270384317,0.1262536358159978,5
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),5,3.963327297606011,0.4497445810627023,0.12800170576464034,6
84,3.5135827165433087,0.0384701896390299,phi^n,3,4.23606797749979,0.7224852609564811,0.2056263703583071,7
84,3.5135827165433087,0.0384701896390299,n*e,1,2.718281828459045,0.7953008880842636,0.226350409893491,8
84,3.5135827165433087,0.0384701896390299,e^n,1,2.718281828459045,0.7953008880842636,0.226350409893491,9
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),6,4.3416075273496055,0.8280248108062969,0.23566395830319725,10
84,3.5135827165433087,0.0384701896390299,phi^n,2,2.618033988749895,0.8955487277934138,0.2548819253853975,11
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),2,2.5066282746310002,1.0069544419123084,0.28658908104573055,12
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),7,4.689472099834751,1.1758893832914428,0.3346696173552141,13
84,3.5135827165433087,0.0384701896390299,n*phi,3,4.854101966249685,1.340519249706376,0.3815248872311137,14
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),8,5.0132565492620005,1.4996738327186918,0.4268218379085389,15
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),1,1.7724538509055159,1.7411288656377928,0.49554230143490957,16
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),9,5.317361552716548,1.8037788361732394,0.5133730956952713,17
84,3.5135827165433087,0.0384701896390299,n*phi,1,1.618033988749895,1.8955487277934138,0.5394917042562954,18
84,3.5135827165433087,0.0384701896390299,phi^n,1,1.618033988749895,1.8955487277934138,0.5394917042562954,19
84,3.5135827165433087,0.0384701896390299,n*e,2,5.43656365691809,1.9229809403747815,0.5472991802130179,20
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),10,5.604991216397929,2.0914084998546203,0.5952353106723399,21
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),11,5.878564381674128,2.364981665130819,0.6730969087466104,22
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),12,6.139960247678931,2.6263775311356223,0.7474927283680044,23
84,3.5135827165433087,0.0384701896390299,n*pi,2,6.283185307179586,2.7696025906362776,0.788255980881257,24
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),13,6.390673242833443,2.877090526290134,0.8188480984789904,25
84,3.5135827165433087,0.0384701896390299,n*phi,4,6.47213595499958,2.958553238456271,0.8420331829748183,26
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),14,6.631915043956542,3.118332327413233,0.8875078741510528,27
84,3.5135827165433087,0.0384701896390299,phi^n,4,6.854101966249686,3.340519249706377,0.9507444449729099,28
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),15,6.864684246478267,3.351101529934958,0.9537562654087162,29
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),16,7.0898154036220635,3.576232687078755,1.0178307942603617,30
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),17,7.308014443816219,3.7944317272729107,1.0799323748398624,31
84,3.5135827165433087,0.0384701896390299,e^n,2,7.3890560989306495,3.875473382387341,1.102997622381312,32
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),18,7.519884823893001,4.0063021073496925,1.1402327568628086,33
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),19,7.7259472181866515,4.212364501643343,1.198880129336332,34
84,3.5135827165433087,0.0384701896390299,sqrt(n*pi),20,7.926654595212022,4.413071878668713,1.2560034115292806,35
84,3.5135827165433087,0.0384701896390299,n*phi,5,8.090169943749475,4.576587227206166,1.3025414787185228,36
84,3.5135827165433087,0.0384701896390299,n*e,3,8.154845485377136,4.641262768833827,1.320948770319527,37
84,3.5135827165433087,0.0384701896390299,n*pi,3,9.42477796076938,5.911195244226071,1.6823839713218856,38
84,3.5135827165433087,0.0384701896390299,n*phi,6,9.70820393249937,6.194621215956061,1.7630497744622273,39
84,3.5135827165433087,0.0384701896390299,pi^n,2,9.869604401089358,6.356021684546049,1.8089859261372834,40
84,3.5135827165433087,0.0384701896390299,n*e,4,10.87312731383618,7.359544597292872,2.094598360426036,41
84,3.5135827165433087,0.0384701896390299,phi^n,5,11.090169943749476,7.576587227206168,2.156370815331217,42
84,3.5135827165433087,0.0384701896390299,n*phi,7,11.326237921249264,7.812655204705956,2.223558070205932,43
84,3.5135827165433087,0.0384701896390299,n*pi,4,12.566370614359172,9.052787897815865,2.5765119617625145,44
84,3.5135827165433087,0.0384701896390299,n*phi,8,12.94427190999916,9.430689193455851,2.684066365949637,45
84,3.5135827165433087,0.0384701896390299,n*e,5,13.591409142295225,10.077826425751915,2.8682479505325444,46
84,3.5135827165433087,0.0384701896390299,n*phi,9,14.562305898749054,11.048723182205745,3.144574661693341,47
84,3.5135827165433087,0.0384701896390299,n*pi,5,15.707963267948966,12.194380551405658,3.470639952203143,48
84,3.5135827165433087,0.0384701896390299,n*phi,10,16.18033988749895,12.666757170955641,3.605082957437046,49
84,3.5135827165433087,0.0384701896390299,n*e,6,16.30969097075427,12.796108254210964,3.6418975406390546,50
84,3.5135827165433087,0.0384701896390299,n*phi,11,17.798373876248846,14.284791159705538,4.065591253180751,51
84,3.5135827165433087,0.0384701896390299,phi^n,6,17.944271909999163,14.430689193455855,4.107115260304128,52
84,3.5135827165433087,0.0384701896390299,n*pi,6,18.84955592153876,15.335973204995451,4.3647679426437715,53
84,3.5135827165433087,0.0384701896390299,n*e,7,19.027972799213316,15.514390082670008,4.415547130745563,54
84,3.5135827165433087,0.0384701896390299,n*phi,12,19.41640786499874,15.902825148455431,4.5260995489244555,55
84,3.5135827165433087,0.0384701896390299,e^n,3,20.085536923187664,16.571954206644357,4.716540222211697,56
84,3.5135827165433087,0.0384701896390299,n*phi,13,21.034441853748632,17.520859137205324,4.986607844668159,57
84,3.5135827165433087,0.0384701896390299,n*e,8,21.74625462767236,18.232671911129053,5.189196720852072,58
84,3.5135827165433087,0.0384701896390299,n*pi,7,21.991148575128552,18.477565858585244,5.2588959330844,59
84,3.5135827165433087,0.0384701896390299,n*phi,14,22.65247584249853,19.13889312595522,5.447116140411865,60
84,3.5135827165433087,0.0384701896390299,n*phi,15,24.270509831248425,20.756927114705118,5.90762443615557,61
84,3.5135827165433087,0.0384701896390299,n*e,9,24.464536456131405,20.950953739588098,5.9628463109585805,62
84,3.5135827165433087,0.0384701896390299,n*pi,8,25.132741228718345,21.619158512175037,6.153023923525028,63
84,3.5135827165433087,0.0384701896390299,n*phi,16,25.88854381999832,22.37496110345501,6.368132731899274,64
84,3.5135827165433087,0.0384701896390299,n*e,10,27.18281828459045,23.669235568047142,6.73649590106509,65
84,3.5135827165433087,0.0384701896390299,n*phi,17,27.50657780874821,23.992995092204904,6.828641027642978,66
84,3.5135827165433087,0.0384701896390299,n*pi,9,28.274333882308138,24.76075116576483,7.047151913965657,67
84,3.5135827165433087,0.0384701896390299,phi^n,7,29.03444185374864,25.52085913720533,7.2634860756353445,68
84,3.5135827165433087,0.0384701896390299,n*phi,18,29.12461179749811,25.6110290809548,7.289149323386683,69
84,3.5135827165433087,0.0384701896390299,n*e,11,29.901100113049495,26.387517396506187,7.510145491171599,70
84,3.5135827165433087,0.0384701896390299,n*phi,19,30.742645786248005,27.229063069704697,7.749657619130388,71
84,3.5135827165433087,0.0384701896390299,pi^n,3,31.006276680299816,27.49269396375651,7.824689549590011,72
84,3.5135827165433087,0.0384701896390299,n*pi,10,31.41592653589793,27.902343819354623,7.941279904406286,73
84,3.5135827165433087,0.0384701896390299,n*phi,20,32.3606797749979,28.84709705845459,8.210165914874091,74
84,3.5135827165433087,0.0384701896390299,n*e,12,32.61938194150854,29.105799224965235,8.28379508127811,75
84,3.5135827165433087,0.0384701896390299,n*pi,11,34.55751918948772,31.043936472944413,8.835407894846913,76
84,3.5135827165433087,0.0384701896390299,n*e,13,35.337663769967584,31.824081053424276,9.057444671384616,77
84,3.5135827165433087,0.0384701896390299,n*pi,12,37.69911184307752,34.185529126534206,9.729535885287541,78
84,3.5135827165433087,0.0384701896390299,n*e,14,38.05594559842663,34.54236288188332,9.831094261491126,79
84,3.5135827165433087,0.0384701896390299,n*e,15,40.77422742688567,37.26064471034236,10.604743851597632,80
84,3.5135827165433087,0.0384701896390299,n*pi,13,40.840704496667314,37.327121780124,10.623663875728171,81
84,3.5135827165433087,0.0384701896390299,n*e,16,43.49250925534472,39.97892653880141,11.378393441704143,82
84,3.5135827165433087,0.0384701896390299,n*pi,14,43.982297150257104,40.46871443371379,11.517791866168798,83
84,3.5135827165433087,0.0384701896390299,n*e,17,46.21079108380377,42.69720836726046,12.152043031810653,84
84,3.5135827165433087,0.0384701896390299,phi^n,8,46.978713763747805,43.465131047204494,12.370601335939472,85
84,3.5135827165433087,0.0384701896390299,n*pi,15,47.12388980384689,43.61030708730358,12.411919856609426,86
84,3.5135827165433087,0.0384701896390299,n*e,18,48.92907291226281,45.4154901957195,12.925692621917161,87
84,3.5135827165433087,0.0384701896390299,n*pi,16,50.26548245743669,46.75189974089338,13.306047847050056,88
84,3.5135827165433087,0.0384701896390299,n*e,19,51.64735474072186,48.13377202417855,13.699342212023671,89
84,3.5135827165433087,0.0384701896390299,n*pi,17,53.40707511102649,49.893492394483175,14.200175837490685,90
84,3.5135827165433087,0.0384701896390299,n*e,20,54.3656365691809,50.85205385263759,14.472991802130178,91
84,3.5135827165433087,0.0384701896390299,e^n,4,54.59815003314423,51.08456731660092,14.539167407693288,92
84,3.5135827165433087,0.0384701896390299,n*pi,18,56.548667764616276,53.035085048072965,15.094303827931313,93
84,3.5135827165433087,0.0384701896390299,n*pi,19,59.690260418206066,56.176677701662754,15.988431818371941,94
84,3.5135827165433087,0.0384701896390299,n*pi,20,62.83185307179586,59.31827035525255,16.88255980881257,95
84,3.5135827165433087,0.0384701896390299,phi^n,9,76.01315561749645,72.49957290095314,20.634087411574818,96
84,3.5135827165433087,0.0384701896390299,pi^n,4,97.40909103400242,93.8955083174591,26.723579859202594,97
84,3.5135827165433087,0.0384701896390299,phi^n,10,122.99186938124426,119.47828666470095,34.004688747514294,98
84,3.5135827165433087,0.0384701896390299,e^n,5,148.41315910257657,144.89957638603326,41.23983639371571,99
84,3.5135827165433087,0.0384701896390299,phi^n,11,199.0050249987407,195.4914422821974,55.63877615908911,100
84,3.5135827165433087,0.0384701896390299,pi^n,5,306.0196847852814,302.50610206873813,86.09619481688084,101
84,3.5135827165433087,0.0384701896390299,phi^n,12,321.996894379985,318.4833116634417,90.64346490660343,102
84,3.5135827165433087,0.0384701896390299,e^n,6,403.428793492735,399.9152107761917,113.81977970612047,103
84,3.5135827165433087,0.0384701896390299,phi^n,13,521.0019193787257,517.4883366621824,147.28224106569252,104
84,3.5135827165433087,0.0384701896390299,phi^n,14,842.9988137587108,839.4852310421675,238.92570597229596,105
84,3.5135827165433087,0.0384701896390299,pi^n,6,961.3891935753043,957.875610858761,272.62076579233826,106
84,3.5135827165433087,0.0384701896390299,e^n,7,1096.6331584284583,1093.1195757119149,311.11252072281786,107
84,3.5135827165433087,0.0384701896390299,phi^n,15,1364.0007331374366,1360.4871504208932,387.2079470379885,108
84,3.5135827165433087,0.0384701896390299,phi^n,16,2206.9995468961474,2203.4859641796043,627.1336530102845,109
84,3.5135827165433087,0.0384701896390299,e^n,8,2980.957987041727,2977.4444043251838,847.4097935153831,110
84,3.5135827165433087,0.0384701896390299,pi^n,7,3020.2932277767914,3016.779645060248,858.6049876828232,111
84,3.5135827165433087,0.0384701896390299,phi^n,17,3571.000280033584,3567.486697317041,1015.3416000482731,112
84,3.5135827165433087,0.0384701896390299,phi^n,18,5777.999826929732,5774.486244213189,1643.4752530585577,113
84,3.5135827165433087,0.0384701896390299,e^n,9,8103.08392757538,8099.5703448588365,2305.216924799556,114
84,3.5135827165433087,0.0384701896390299,phi^n,19,9349.000106963316,9345.486524246773,2659.816853106831,115
84,3.5135827165433087,0.0384701896390299,pi^n,8,9488.53101607057,9485.017433354027,2699.5287142935017,116
84,3.5135827165433087,0.0384701896390299,phi^n,20,15126.999933893048,15123.486351176505,4304.292106165389,117
84,3.5135827165433087,0.0384701896390299,e^n,10,22026.465794806703,22022.95221209016,6267.947559167334,118
84,3.5135827165433087,0.0384701896390299,pi^n,9,29809.0993334462,29805.585750729657,8482.961169632754,119
84,3.5135827165433087,0.0384701896390299,e^n,11,59874.14171519778,59870.62813248124,17039.766233647246,120
84,3.5135827165433087,0.0384701896390299,pi^n,10,93648.04747608298,93644.53389336643,26652.150083859327,121
84,3.5135827165433087,0.0384701896390299,e^n,12,162754.79141900383,162751.27783628728,46320.6051959418,122
84,3.5135827165433087,0.0384701896390299,pi^n,11,294204.01797389047,294200.50439117395,83732.34049847866,123
84,3.5135827165433087,0.0384701896390299,e^n,13,442413.3920089202,442409.8784262037,125914.17766918268,124
84,3.5135827165433087,0.0384701896390299,pi^n,12,924269.1815233737,924265.6679406571,263055.0473705532,125
84,3.5135827165433087,0.0384701896390299,e^n,14,1202604.2841647759,1202600.7705820594,342271.9393853314,126
84,3.5135827165433087,0.0384701896390299,pi^n,13,2903677.270613282,2903673.7570305653,826413.9459016987,127
