peak_rank,base,top_k,selected_gaps,midpoint_angles_deg,area,perimeter,symmetry_score,compactness
9,9.761232246449287,3,"[""Delta_1232 -> K_plus"", ""electron -> pi_plus"", ""pi0 -> neutron""]","[20.006275437474557, 99.92296324103297, 195.6371818455751]",0.9517019593998173,4.765954988176012,0.022772440278189428,0.5265152501728888
9,9.761232246449287,4,"[""Delta_1232 -> K_plus"", ""electron -> pi_plus"", ""pi0 -> neutron"", ""W -> Xi_minus""]","[20.006275437474557, 99.92296324103297, 195.6371818455751, 299.0296560690674]",1.970007919561453,5.635465622435613,0.09475667345400263,0.779503781577714
9,9.761232246449287,5,"[""Delta_1232 -> K_plus"", ""electron -> pi_plus"", ""pi0 -> neutron"", ""W -> Xi_minus"", ""phi_1020 -> Omega_minus""]","[20.006275437474557, 99.92296324103297, 195.6371818455751, 227.43057838992317, 299.0296560690674]",2.2214691498966515,5.783704180101103,0.05799451383411168,0.8345224158292601
9,9.761232246449287,6,"[""Delta_1232 -> K_plus"", ""electron -> pi_plus"", ""pi0 -> neutron"", ""W -> Xi_minus"", ""phi_1020 -> Omega_minus"", ""Omega_minus -> Higgs""]","[20.006275437474557, 99.92296324103297, 195.6371818455751, 227.43057838992317, 249.9896305624589, 299.0296560690674]",2.3164352514996196,5.83501544217669,0.03768487929674239,0.8549604204664724
10,31.16919383876775,3,"[""D_plus -> rho_770"", ""pi0 -> tau"", ""phi_1020 -> Delta_1232""]","[37.43870934739213, 133.10053556896136, 316.2393224841984]",0.9642967483192755,4.783123896017878,0.023205881044255975,0.5296601576326367
10,31.16919383876775,4,"[""D_plus -> rho_770"", ""pi0 -> tau"", ""phi_1020 -> Delta_1232"", ""Ds_plus -> proton""]","[37.43870934739213, 133.10053556896136, 232.13753626578765, 316.2393224841984]",1.9828206994765951,5.644686260444709,0.11976889213677579,0.7820124937526932
10,31.16919383876775,5,"[""D_plus -> rho_770"", ""pi0 -> tau"", ""phi_1020 -> Delta_1232"", ""Ds_plus -> proton"", ""proton -> K_short""]","[37.43870934739213, 133.10053556896136, 232.13753626578765, 251.54689737886864, 316.2393224841984]",2.103638326564301,5.712313041866825,0.040065249443688895,0.8101341509920894
10,31.16919383876775,6,"[""D_plus -> rho_770"", ""pi0 -> tau"", ""phi_1020 -> Delta_1232"", ""Ds_plus -> proton"", ""proton -> K_short"", ""pi_plus -> Omega_minus""]","[10.138815700210166, 37.43870934739213, 133.10053556896136, 232.13753626578765, 251.54689737886864, 316.2393224841984]",2.242841243150517,5.789169037302088,0.03641163262255225,0.8409611562739688
11,11.450050010001998,3,"[""K_plus -> tau"", ""pi_plus -> Upsilon_1S"", ""D0 -> Z""]","[56.20396892472374, 145.21832551592266, 245.50407629277305]",1.07269359104457,4.930703997886789,0.028735691289178522,0.5544567650598627
11,11.450050010001998,4,"[""K_plus -> tau"", ""pi_plus -> Upsilon_1S"", ""D0 -> Z"", ""neutron -> K_long""]","[56.20396892472374, 145.21832551592266, 245.50407629277305, 315.2983704633917]",1.9520901871470857,5.623697825231719,0.08623905316846249,0.7756499850208572
11,11.450050010001998,5,"[""K_plus -> tau"", ""pi_plus -> Upsilon_1S"", ""D0 -> Z"", ""neutron -> K_long"", ""Delta_1232 -> electron""]","[56.20396892472374, 87.72199452446063, 145.21832551592266, 245.50407629277305, 315.2983704633917]",2.1352260797583495,5.72680567091528,0.04188211578237935,0.8181422798251271
11,11.450050010001998,6,"[""K_plus -> tau"", ""pi_plus -> Upsilon_1S"", ""D0 -> Z"", ""neutron -> K_long"", ""Delta_1232 -> electron"", ""Xi_minus -> D_plus""]","[56.20396892472374, 87.72199452446063, 145.21832551592266, 245.50407629277305, 315.2983704633917, 356.1085746111658]",2.4044620076118153,5.883357597309632,0.05641702337941461,0.8729257225619549
12,42.200200040008,3,"[""B_plus -> top"", ""K_short -> Delta_1232"", ""K_plus -> Xi_minus""]","[27.919347589211384, 139.36953779068727, 230.5836141887793]",1.1579209763392557,5.042816534852583,0.03862422229892307,0.5721928796498811
12,42.200200040008,4,"[""B_plus -> top"", ""K_short -> Delta_1232"", ""K_plus -> Xi_minus"", ""tau -> D0""]","[27.919347589211384, 139.36953779068727, 230.5836141887793, 316.67170138993873]",1.9375491898462072,5.61185002108712,0.08108897103938362,0.7731263751063837
