name,family,dominant_interaction,mass_mev,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,log_base_N,phase_fraction,theta_rad,theta_deg,complex_x,complex_y
Upsilon_1S,meson,mixed,9460.4,2.2875145425820157e+24,1.2190000000000001e-20,27884.802274074773,4.445367569337434,2,14.767191420683169,0.7671914206831687,4.820405862230719,276.18891144594073,0.1078069538814107,-0.9941718466617385
W,boson,weak,80369.2,1.9433186099497117e+25,3.16e-25,6.140886807441088,0.7882310922760309,2,2.6184470106955002,0.6184470106955002,3.8858171708711033,222.64092385038006,-0.7356134367202509,-0.6774015586907233
Z,boson,weak,91188.0,2.204916030072395e+25,2.64e-25,5.820978319391123,0.7649959817301074,2,2.541261644185183,0.541261644185183,3.4008472100842067,194.85419190666587,-0.9665813486398974,-0.2563600913977781
Higgs,boson,mixed,125200.0,3.027322531090317e+25,1.6000000000000002e-22,4843.716049744508,3.685178675832777,2,12.241898577928708,0.2418985779287084,1.5198935906692967,87.08348805433502,0.050880756723907274,0.9987047354424643
top,quark,weak,172560.0,4.172482236141734e+25,3.3e-25,13.769191379267722,1.1389084362748172,2,3.7833719319655486,0.7833719319655486,4.922071012982821,282.01389550759745,0.20814890736444888,-0.9780971487347185
muon,lepton,weak,105.6583755,2.5548081529516867e+22,2.1969811e-06,5.612865226160765e+16,16.74918461424223,e,38.56642281255938,0.5664228125593809,3.5589394935244387,203.9122125213771,-0.9141675790607754,-0.40533644962445814
tau,lepton,weak,1776.93,4.2965976239379536e+23,2.903e-13,124730229022.9188,11.09597171977255,e,25.549419074231775,0.5494190742317748,3.452101854697298,197.79086672343894,-0.9521781102336274,-0.30554352618230696
neutron,baryon,weak,939.56542194,2.2718590824858967e+23,878.4,1.9956010180556114e+26,26.300073716822478,e,60.55815768499994,0.5581576849999408,3.5070081654809995,200.93676659997868,-0.933975363854234,-0.35733740318269397
Lambda,baryon,weak,1115.683,2.6977094915770273e+23,2.617e-10,70599057394570.8,13.84879890259473,e,31.888037908986927,0.8880379089869272,5.579706741965144,319.69364723529384,0.7625966111169079,-0.6468743376522271
Sigma_plus,baryon,weak,1189.37,2.8758838648585384e+23,8.018e-11,23058836828435.76,13.362837396118582,e,30.769070188406015,0.7690701884060154,4.832210507982512,276.8652678261655,0.11953501644115574,-0.9928299853672897
Xi_minus,baryon,weak,1321.71,3.195880561156057e+23,1.639e-10,52380482397347.77,13.719169493736818,e,31.589555164537064,0.5895551645370638,3.704284347591123,212.23985923334297,-0.8458222527658638,-0.5334648223885801
Omega_minus,baryon,weak,1672.45,4.043966107924921e+23,8.21e-11,33200961746063.605,13.521150664275083,e,31.133599959686347,0.13359995968634664,0.8394333037410382,48.09598548708479,0.6678847051130159,0.7442647517356306
